NLOID,ISCO-08 Score,SOC-20 Score,Major Group,Sub-Major Group,Minor Group,ISCO Unit Group,Occupation Title,Core List,Digital Economy Occupation ,Comprehension Score,OP N,OP Mean,OP Std,OP Skewness,OP Kurtosis,SV N,SV Mean,SV Std,SV Skewness,SV Kurtosis,OP/SV Difference
NL014,1219,1259,1 Managers,12 Administrative and Commercial Managers,121 Business Services and Administration Managers,1219 Business Services and Administration Managers Not Elsewhere Classified,Cleaning Services Manager,0,0,50,308,40.276,17.37885,0.028,-0.391,300,48.6933,18.65062,-0.043,-0.307,-8.4173
NL015,1221,2432,1 Managers,12 Administrative and Commercial Managers,"122 Sales, Marketing and Development Managers",1221 Sales and Marketing Managers,Marketing Manager,1,0,49,1219,50.8195,18.03559,-0.52,0.259,1210,43.9214876,22.05935188,-0.1801922046,-0.6178355888,6.898012397
NL016,1221,2493,1 Managers,12 Administrative and Commercial Managers,"122 Sales, Marketing and Development Managers",1221 Sales and Marketing Managers,Social Media Marketing Manager,0,1,49,306,46.5621,20.93544,-0.387,-0.347,301,38.4684,23.82666,0.09,-0.706,8.0937
NL017,1221,2432,1 Managers,12 Administrative and Commercial Managers,"122 Sales, Marketing and Development Managers",1221 Sales and Marketing Managers,Digital Marketing Manager,0,1,44,303,53.5149,18.02956,-0.591,0.646,305,44.44918033,21.59034433,-0.1997746796,-0.3348043519,9.065719672
NL018,1221,3556,1 Managers,12 Administrative and Commercial Managers,"122 Sales, Marketing and Development Managers",1221 Sales and Marketing Managers,E-Commerce Manager,0,1,42,302,48.6854,18.38813,-0.651,0.135,304,41.5954,21.26582,0.001,-0.378,7.09
NL019,1222,2493,1 Managers,12 Administrative and Commercial Managers,"122 Sales, Marketing and Development Managers",1222 Advertising and Public Relations Managers,Public Relations Manager,0,0,43,308,51.4448,17.92911,-0.538,0.232,300,47.3233,22.50601,-0.229,-0.637,4.1215
NL020,1223,3556,1 Managers,12 Administrative and Commercial Managers,"122 Sales, Marketing and Development Managers",1223 Research and Development Managers,Product Development Manager,0,0,43,306,57.9412,16.74485,-0.525,0.781,301,54.1993,19.13305,-0.416,0.139,3.7419
NL021,1311,1212,1 Managers,13 Production and Specialized Services Managers,"131 Production Managers in Agriculture, Forestry and Fisheries",1311 Agricultural and Forestry Production Managers,Forestry Manager,1,0,47,1219,53.6883,18.59263,-0.596,0.285,1210,56.8438,20.65674,-0.515,0.063,-3.1555
NL022,1312,1121,1 Managers,13 Production and Specialized Services Managers,"131 Production Managers in Agriculture, Forestry and Fisheries",1312 Aquaculture and Fisheries Production Managers,Fishery Production Manager,0,0,41,303,46.2805,17.20438,-0.282,-0.232,305,50.682,21.25504,-0.284,-0.28,-4.4015
NL023,1321,1121,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers",1321 Manufacturing Managers,Manufacturing Manager,0,0,49,302,52.0795,16.25831,-0.617,0.393,304,49.9572,18.55012,-0.256,0.015,2.1223
NL024,1322,1123,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers",1322 Mining Managers,Quarry Production Manager,0,0,42,308,48.5649,18.18416,-0.283,-0.24,300,49.9633,20.20883,-0.322,-0.323,-1.3984
NL025,1323,2455,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers",1323 Construction Managers,Construction Project Manager,0,0,48,306,59.4608,17.85681,-0.835,0.951,301,58.3322,17.81168,-0.49,0.839,1.1286
NL026,1324,1241,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers","1324 Supply, Distribution and Related Managers",Railway Station Manager,1,0,49,1219,50.4266,18.38277,-0.444,-0.089,1210,54.6942,19.66041,-0.535,0.175,-4.2676
NL027,1324,1242,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers","1324 Supply, Distribution and Related Managers",Warehouse Manager,0,0,49,303,42.7096,17.6234,-0.175,-0.522,305,47.0656,19.23168,-0.416,-0.385,-4.356
NL028,1324,3542,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers","1324 Supply, Distribution and Related Managers",Smuggler*,0,0,48,302,11.2318,17.61962,2.116,4.725,304,13.5789,19.72585,1.849,3.291,-2.3471
NL029,1324,2132,1 Managers,13 Production and Specialized Services Managers,"132 Manufacturing, Mining, Construction and Distribution Managers","1324 Supply, Distribution and Related Managers",Data Centre Manager,0,0,45,308,49.5162,19.71416,-0.392,-0.273,300,47.6767,20.62304,-0.331,-0.195,1.8395
NL030,1330,2132,1 Managers,13 Production and Specialized Services Managers,133 Information and Communications Technology Services Managers,1330 Information and Communications Technology Services Managers,IT Manager,1,1,50,1219,57.3519,18.37902,-0.74,0.772,1210,52.786,20.1752,-0.482,0.078,4.5659
NL031,1330,3520,1 Managers,13 Production and Specialized Services Managers,133 Information and Communications Technology Services Managers,1330 Information and Communications Technology Services Managers,Data Protection Officer,0,1,44,306,53.3301,19.90005,-0.358,0.086,301,55.3123,22.73871,-0.277,-0.433,-1.9822
NL032,1330,1137,1 Managers,13 Production and Specialized Services Managers,133 Information and Communications Technology Services Managers,1330 Information and Communications Technology Services Managers,Chief Technology Officer (CTO),0,1,46,303,68.1023,18.97609,-0.814,0.862,305,56.09836066,22.76908173,-0.6259686087,-0.07462686371,12.00393934
NL033,1341,2324,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1341 Child Care Services Managers,Child Care Centre Manager,0,0,50,302,51.9205,17.58908,-0.439,0.126,304,62.9079,18.74366,-0.839,1.188,-10.9874
NL034,1342,2237,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1342 Health Services Managers,Hospital Matron,0,0,45,308,62.5617,19.58859,-0.519,0.259,300,70.95,19.5332,-0.831,0.762,-8.3883
NL035,1342,2483,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1342 Health Services Managers,Chief Public Health Officer,0,0,43,306,71.5033,19.16182,-1.175,1.853,301,68.7841,20.61755,-0.946,0.988,2.7192
NL036,1343,1171,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1343 Aged Care Services Managers,Nursing Home Director,0,0,45,303,56.2211,18.96757,-0.428,0.114,305,63.6295,19.34054,-0.506,0.511,-7.4084
NL037,1344,1232,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1344 Social Welfare Managers,Community Centre Manager,0,0,48,302,48.5795,17.85132,-0.371,-0.001,304,54.3257,20.87119,-0.392,-0.165,-5.7462
NL038,1345,2321,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1345 Education Managers,Head Teacher,1,0,50,1219,71.936,15.26119,-0.771,1.026,1210,75.32892562,15.46492303,-0.9132337691,1.652066576,-3.39292562
NL039,1346,1131,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1346 Financial and Insurance Services Branch Managers,Bank Manager,0,0,49,308,60.6006,19.8169,-1.008,0.837,300,55.1433,21.73748,-0.526,-0.32,5.4573
NL040,1349,1255,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1349 Professional Services Managers Not Elsewhere Classified,Art Gallery Manager,0,0,49,306,55.8235,20.30719,-0.592,0.126,301,48.5781,22.99923,-0.384,-0.62,7.2454
NL041,1349,1162,1 Managers,13 Production and Specialized Services Managers,134 Professional Services Managers,1349 Professional Services Managers Not Elsewhere Classified,Police Superintendent,0,0,47,303,68.9406,18.36666,-1.102,1.895,305,68.81967213,18.19151425,-0.9643219666,1.644313748,0.1209278689
NL042,1411,1221,1 Managers,"14 Hospitality, Retail and Other Services Managers",141 Hotel and Restaurant Managers,1411 Hotel Managers,Hotel Manager,1,0,50,1219,57.7367,15.39103,-0.535,0.521,1210,54.78099174,17.74907733,-0.3018921939,0.3856301322,2.955708264
NL043,1412,1222,1 Managers,"14 Hospitality, Retail and Other Services Managers",141 Hotel and Restaurant Managers,1412 Restaurant Managers,Restaurant Manager,0,0,50,302,48.7483,16.90435,-0.351,0.013,304,50.8158,19.2417,-0.429,-0.226,-2.0675
NL044,1420,1150,1 Managers,"14 Hospitality, Retail and Other Services Managers",142 Retail and Wholesale Trade Managers,1420 Retail and Wholesale Trade Managers,Supermarket Manager,1,0,50,1219,50.1255,16.96775,-0.297,-0.028,1210,55.64214876,18.34302437,-0.3074958917,0.2764154084,-5.51664876
NL045,1431,1222,1 Managers,"14 Hospitality, Retail and Other Services Managers",143 Other Services Managers,"1431 Sports, Recreation and Cultural Centre Managers",Internet Café Manager,0,0,49,308,36.8701,19.07458,0.079,-0.716,300,39.8533,22.14089,0.066,-0.492,-2.9832
NL046,1431,1224,1 Managers,"14 Hospitality, Retail and Other Services Managers",143 Other Services Managers,"1431 Sports, Recreation and Cultural Centre Managers",Leisure Centre Manager,1,0,47,1219,45.5783,17.94064,-0.218,-0.137,1210,48.16363636,19.73148115,-0.2640046258,-0.140060395,-2.585336364
NL047,1439,1251,1 Managers,"14 Hospitality, Retail and Other Services Managers",143 Other Services Managers,1439 Services Managers Not Elsewhere Classified,Shopping Centre Manager,0,0,50,306,48.4706,19.50504,-0.345,-0.168,301,49.8372,20.59976,-0.324,-0.282,-1.3666
NL048,2111,2114,2 Professionals,21 Science and Engineering Professionals,211 Physical and Earth Science Professionals,2111 Physicists and Astronomers,Astronomer,0,0,49,303,70.9307,19.45036,-0.841,0.625,305,55.26229508,24.37231877,-0.4462438726,-0.5397978421,15.66840492
NL049,2112,2114,2 Professionals,21 Science and Engineering Professionals,211 Physical and Earth Science Professionals,2112 Meteorologists,Meteorologist,0,0,43,302,64.5762,16.85602,-1.068,2.235,304,59.0526,20.95155,-0.823,0.456,5.5236
NL050,2113,2111,2 Professionals,21 Science and Engineering Professionals,211 Physical and Earth Science Professionals,2113 Chemists,Chemical Scientist,0,0,49,308,68.5584,18.18382,-0.993,1.5,300,64.6433,21.23407,-0.881,0.723,3.9151
NL051,2114,2114,2 Professionals,21 Science and Engineering Professionals,211 Physical and Earth Science Professionals,2114 Geologists and Geophysicists,Geologist,1,0,50,1219,62.8162,17.56113,-0.715,0.643,1210,57.514,21.20997,-0.695,0.132,5.3022
NL052,2120,2133,2 Professionals,21 Science and Engineering Professionals,"212 Mathematicians, Actuaries and Statisticians","2120 Mathematicians, Actuaries and Statisticians",Data Scientist,1,1,47,1219,61.7047,18.94378,-0.763,0.779,1210,57.243,21.19039,-0.598,0.118,4.4617
NL053,2120,2433,2 Professionals,21 Science and Engineering Professionals,"212 Mathematicians, Actuaries and Statisticians","2120 Mathematicians, Actuaries and Statisticians",Statistician,0,0,43,306,54.1111,20.73361,-0.558,0.027,301,50.5515,22.31176,-0.295,-0.522,3.5596
NL054,2131,2112,2 Professionals,21 Science and Engineering Professionals,213 Life Science Professionals,"2131 Biologists, Botanists, Zoologists and Related Professionals",Marine Biologist,1,0,47,1219,70.4405,15.68466,-0.742,1.148,1210,64.0587,20.309,-0.714,0.39,6.3818
NL055,2132,2119,2 Professionals,21 Science and Engineering Professionals,213 Life Science Professionals,"2132 Farming, Forestry and Fisheries Advisers",Forestry Scientist,0,0,48,303,60.5545,16.8679,-0.562,0.787,305,59.6361,19.85512,-0.493,0.301,0.9184
NL056,2133,2151,2 Professionals,21 Science and Engineering Professionals,213 Life Science Professionals,2133 Environmental Protection Professionals,Conservation Officer,0,0,42,302,51.8709,18.33338,-0.516,0.159,304,56.6645,20.81014,-0.615,-0.06,-4.7936
NL057,2141,2125,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),2141 Industrial and Production Engineers,Industrial Engineer,0,0,43,308,59.211,18.94594,-0.704,0.46,300,58.0733,20.48447,-0.698,0.408,1.1377
NL058,2142,2121,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),2142 Civil Engineers,Bridge Engineer,0,0,49,306,61.0458,20.3748,-0.775,0.42,301,62.5249,20.84763,-0.447,0.011,-1.4791
NL059,2143,2483,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),2143 Environmental Engineers,Air Pollution Control Engineer,0,0,48,303,59.5875,16.84143,-0.474,0.705,305,65.42295082,18.59916871,-0.6970593441,0.7050316223,-5.83545082
NL060,2144,2126,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),2144 Mechanical Engineers,Aeronautical Engineer,0,0,44,302,79.5132,12.71871,-0.706,1.215,304,68.9737,18.53957,-0.706,0.485,10.5395
NL061,2145,2121,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),2145 Chemical Engineers,Oil Refinery Process Engineer,0,0,42,308,63.3442,17.57733,-0.557,0.45,300,59.8067,20.74537,-0.596,0.039,3.5375
NL062,2146,2121,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),"2146 Mining Engineers, Metallurgists and Related Professionals",Natural Gas Engineer,0,0,42,306,64.4902,16.77864,-0.529,0.648,301,65.3688,17.62329,-0.644,0.764,-0.8786
NL063,2149,2129,2 Professionals,21 Science and Engineering Professionals,214 Engineering Professionals (excluding Electrotechnology),2149 Engineering Professionals Not Elsewhere Classified,Nuclear Power Engineer,1,0,46,1219,75.1173,16.90362,-1.139,2.328,1210,68.35785124,21.328539,-1.035114995,1.079924982,6.75944876
NL064,2151,2123,2 Professionals,21 Science and Engineering Professionals,215 Electrotechnology Engineers,2151 Electrical Engineers,Electrical Engineer,1,0,47,1219,66.7941,15.67683,-0.528,0.729,1210,67.55950413,16.45366494,-0.7122542465,1.131211984,-0.7654041322
NL065,2152,2124,2 Professionals,21 Science and Engineering Professionals,215 Electrotechnology Engineers,2152 Electronics Engineers,Computer Hardware Engineer,0,0,45,303,60.429,16.99106,-0.332,0.474,305,57.74754098,19.01242328,-0.7322007106,0.5689913621,2.681459016
NL066,2153,2124,2 Professionals,21 Science and Engineering Professionals,215 Electrotechnology Engineers,2153 Telecommunications Engineers,Telecommunications Engineer,0,0,44,302,60.5232,16.87804,-0.598,0.323,304,63.9046,17.74445,-0.718,0.931,-3.3814
NL067,2161,2451,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2161 Building Architects,Architect,1,0,49,1219,74.9475,14.27264,-0.857,1.87,1210,67.93305785,17.26357673,-0.7684216437,0.8094528888,7.014442149
NL068,2161,2451,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2161 Building Architects,Virtual Reality Architect,0,1,44,308,59.8929,19.2707,-0.834,0.627,300,46.21,24.11537,-0.156,-0.763,13.6829
NL069,2162,2451,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2162 Landscape Architects,Landscape Architect,0,0,48,306,65.268,17.00376,-0.745,0.723,301,57.887,19.88753,-0.422,0.118,7.381
NL070,2163,3422,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2163 Product and Garment Designers,Fashion Designer,0,0,50,303,56.538,22.55716,-0.64,-0.023,305,41.4033,23.7961,-0.05,-0.886,15.1347
NL071,2164,2452,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2164 Town and Traffic Planners,Town Planner,0,0,48,302,58.5464,17.06416,-0.852,1.222,304,60.125,18.68139,-0.687,0.641,-1.5786
NL072,2165,2454,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2165 Cartographers and Surveyors,Land Surveyor,0,0,46,308,59.1201,15.81721,-0.611,0.797,300,55.5567,18.59784,-0.483,0.026,3.5634
NL073,2166,2141,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2166 Graphic and Multimedia Designers,Website Designer,0,1,50,306,57.4804,17.42265,-0.576,0.615,301,51.3056,20.13967,-0.331,0.023,6.1748
NL074,2166,2134,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2166 Graphic and Multimedia Designers,Video Game Designer,0,1,48,303,58.0594,19.68636,-0.571,0.275,305,45.68196721,23.81121963,-0.2445850841,-0.7751222066,12.37743279
NL075,2166,2142,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2166 Graphic and Multimedia Designers,Digital Artist,0,1,48,302,50.4669,18.68529,-0.489,0.117,304,43.6513,21.38482,-0.18,-0.59,6.8156
NL076,2166,3416,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2166 Graphic and Multimedia Designers,Online Freelance Video Editor,0,1,45,308,46.3994,18.7797,-0.458,-0.308,300,41.5867,21.35907,-0.078,-0.66,4.8127
NL077,2166,2142,2 Professionals,21 Science and Engineering Professionals,"216 Architects, Planners, Surveyors and Designers",2166 Graphic and Multimedia Designers,Online Freelance Graphic Designer,0,1,49,306,52.6275,19.11446,-0.687,0.378,301,44.9336,21.3114,-0.325,-0.491,7.6939
NL078,2211,2211,2 Professionals,22 Health Professionals,221 Medical Doctors,2211 Generalist Medical Practitioners,General Practitioner (GP),1,0,50,1219,78.0952,15.65643,-1.369,3.532,1210,83.60661157,14.58963757,-1.25407755,2.411376946,-5.51141157
NL079,2212,2212,2 Professionals,22 Health Professionals,221 Medical Doctors,2212 Specialist Medical Practitioners,Psychiatrist,0,0,49,303,71.5347,16.99371,-1.001,2.032,305,71.3672,18.88041,-1.057,2.029,0.1675
NL080,2212,2212,2 Professionals,22 Health Professionals,221 Medical Doctors,2212 Specialist Medical Practitioners,Cardiologist,0,0,47,302,81.957,14.24937,-1.609,5.387,304,81.5164,15.6021,-1.129,1.145,0.4406
NL081,2221,2234,2 Professionals,22 Health Professionals,222 Nursing and Midwifery Professionals,2221 Nursing Professionals,Nurse Practitioner,1,0,48,1219,63.3601,19.02498,-0.453,0.187,1210,76.3545,17.28807,-0.876,1.206,-12.9944
NL082,2221,2233,2 Professionals,22 Health Professionals,222 Nursing and Midwifery Professionals,2221 Nursing Professionals,Operating Theatre Nurse,0,0,50,308,67.5909,19.04208,-0.521,0.487,300,76.7067,18.50429,-1.279,2.473,-9.1158
NL083,2222,2231,2 Professionals,22 Health Professionals,222 Nursing and Midwifery Professionals,2222 Midwifery Professionals,Professional Midwife,0,0,50,306,68.6471,18.51467,-0.473,0.227,301,79.9767,17.74606,-1.047,1.477,-11.3296
NL084,2230,2229,2 Professionals,22 Health Professionals,223 Traditional and Complementary Medicine Professionals,2230 Traditional and Complementary Medicine Professionals,Herbal Medicine Practitioner,0,0,49,303,36.4026,21.80747,0.136,-0.678,305,38.0984,25.49542,0.129,-0.862,-1.6958
NL085,2230,2229,2 Professionals,22 Health Professionals,223 Traditional and Complementary Medicine Professionals,2230 Traditional and Complementary Medicine Professionals,Acupuncturist,1,0,46,1219,45.9016,21.13484,-0.218,-0.479,1210,45.2545,23.71197,-0.143,-0.637,0.6471
NL086,2240,3213,2 Professionals,22 Health Professionals,224 Paramedical Practitioners,2240 Paramedical Practitioners,Surgical Technician,1,0,42,1219,69.2494,18.09926,-0.73,0.888,1210,74.276,18.46114,-0.957,1.187,-5.0266
NL087,2250,2240,2 Professionals,22 Health Professionals,225 Veterinarians,2250 Veterinarians,Veterinarian,1,0,50,1219,75.9122,16.27816,-1.218,2.472,1210,73.75454545,17.17534974,-0.8874011253,1.120759418,2.157654545
NL088,2261,2253,2 Professionals,22 Health Professionals,226 Other Health Professionals,2261 Dentists,Dentist,1,0,49,1219,76.4537,13.65503,-0.895,1.958,1210,78.2107438,14.18019624,-0.7976303261,1.371580498,-1.757043802
NL089,2262,2251,2 Professionals,22 Health Professionals,226 Other Health Professionals,2262 Pharmacists,Retail Pharmacist,0,0,48,302,57.1093,18.63261,-0.43,0.163,304,63.875,18.38399,-0.651,0.563,-6.7657
NL090,2263,2259,2 Professionals,22 Health Professionals,226 Other Health Professionals,2263 Environmental and Occupational Health and Hygiene Professionals,Occupational Health and Safety Adviser,0,0,46,308,51.3571,18.56556,-0.347,0.067,300,60.18,20.53696,-0.491,0.412,-8.8229
NL091,2264,2229,2 Professionals,22 Health Professionals,226 Other Health Professionals,2264 Physiotherapists,Physical Therapist,0,0,50,306,64.3595,16.82275,-0.481,0.822,301,71.5249,17.99639,-0.482,0.222,-7.1654
NL092,2265,2229,2 Professionals,22 Health Professionals,226 Other Health Professionals,2265 Dieticians and Nutritionists,Nutritionist,0,0,49,303,52.7789,18.26173,-0.366,0.155,305,56.03606557,20.56701205,-0.6322211454,0.6219443852,-3.257165574
NL093,2266,2223,2 Professionals,22 Health Professionals,226 Other Health Professionals,2266 Audiologists and Speech Therapists,Speech Therapist,0,0,47,302,60.9338,17.07952,-0.704,1.094,304,66.9112,17.84556,-0.785,1.571,-5.9774
NL094,2267,2252,2 Professionals,22 Health Professionals,226 Other Health Professionals,2267 Optometrists and Ophthalmic Opticians,Optometrist,0,0,42,308,65.5357,18.14299,-0.925,1.25,300,70.48,18.43717,-0.782,0.868,-4.9443
NL095,2269,2229,2 Professionals,22 Health Professionals,226 Other Health Professionals,2269 Health Professionals Not Elsewhere Classified,Chiropractor,0,0,48,306,60.134,18.44722,-0.601,0.715,301,62.2658,21.87957,-0.59,0.118,-2.1318
NL096,2310,2311,2 Professionals,23 Teaching Professionals,231 University and Higher Education Teachers,2310 University and Higher Education Teachers,University Professor,1,0,50,1219,76.7383,15.57132,-1.346,3.262,1210,72.89338843,16.72685362,-1.009715035,1.799573557,3.84491157
NL097,2320,2313,2 Professionals,23 Teaching Professionals,232 Vocational Education Teachers,2320 Vocational Education Teachers,Trade Skills Teacher,1,0,46,1219,53.8195,17.9923,-0.323,0.212,1210,64.26198347,18.94255718,-0.5304969181,0.44800445,-10.44248347
NL098,2330,2313,2 Professionals,23 Teaching Professionals,233 Secondary Education Teachers,2330 Secondary Education Teachers,Secondary School Teacher,1,0,50,1219,59.7621,17.82678,-0.463,0.541,1210,73.3876,17.77162,-0.739,0.847,-13.6255
NL099,2330,2319,2 Professionals,23 Teaching Professionals,233 Secondary Education Teachers,2330 Secondary Education Teachers,Online Freelance Tutor,0,1,47,303,45.4983,19.02697,-0.123,-0.25,305,49.377,20.71451,-0.365,-0.152,-3.8787
NL100,2341,2314,2 Professionals,23 Teaching Professionals,234 Primary School and Early Childhood Teachers,2341 Primary School Teachers,Primary School Teacher,1,0,49,1219,59.2961,19.74069,-0.399,0.072,1210,74.9496,18.28476,-0.832,0.929,-15.6535
NL101,2342,2315,2 Professionals,23 Teaching Professionals,234 Primary School and Early Childhood Teachers,2342 Early Childhood Educators,Nursery Teacher,0,0,49,302,52.1126,19.63573,-0.297,-0.11,304,68.9145,19.46036,-0.701,0.563,-16.8019
NL102,2351,2323,2 Professionals,23 Teaching Professionals,235 Other Teaching Professionals,2351 Education Methods Specialists,School Inspector,0,0,49,308,51.2792,19.12687,-0.544,0.054,300,57.6133,22.04762,-0.478,0.085,-6.3341
NL103,2352,2316,2 Professionals,23 Teaching Professionals,235 Other Teaching Professionals,2352 Special Needs Teachers,Special Educational Needs Teacher,0,0,48,306,63.4935,21.19376,-0.455,-0.053,301,77.6346,17.87081,-0.696,0.181,-14.1411
NL104,2353,2313,2 Professionals,23 Teaching Professionals,235 Other Teaching Professionals,2353 Other Language Teachers,Second Language Teacher,0,0,48,303,58.5116,16.01858,-0.396,0.633,305,60.40983607,18.42889701,-0.3187537302,0.2762607668,-1.898236066
NL105,2354,2319,2 Professionals,23 Teaching Professionals,235 Other Teaching Professionals,2354 Other Music Teachers,Private Piano Teacher,0,0,49,302,53.1192,18.37698,-0.554,0.226,304,45.2895,22.51941,-0.386,-0.592,7.8297
NL106,2355,2319,2 Professionals,23 Teaching Professionals,235 Other Teaching Professionals,2355 Other Arts Teachers,Private Painting Teacher,0,0,50,308,49.6721,19.94176,-0.334,-0.051,300,42,23.9147,0.012,-0.866,7.6721
NL107,2356,2313,2 Professionals,23 Teaching Professionals,235 Other Teaching Professionals,2356 Information Technology Trainers,Computer Skills Teacher,0,0,48,306,56.3268,17.90002,-0.533,0.826,301,66.0598,18.18983,-0.728,1.15,-9.733
